iter	Passed	Remaining
0	2	2124
1	3	1931
2	5	1850
3	7	1845
4	9	1907
5	11	1853
6	12	1805
7	14	1762
8	15	1743
9	17	1720
10	19	1714
11	20	1691
12	22	1702
13	24	1719
14	26	1709
15	27	1690
16	29	1681
17	30	1678
18	32	1672
19	34	1668
20	36	1709
21	38	1702
22	40	1720
23	42	1737
24	44	1732
25	46	1728
26	47	1719
27	49	1715
28	51	1719
29	52	1708
30	54	1705
31	56	1722
32	58	1720
33	60	1712
34	62	1711
35	63	1705
36	65	1704
37	67	1710
38	70	1731
39	73	1765
40	75	1766
41	77	1767
42	79	1772
43	81	1770
44	83	1767
45	85	1762
46	87	1765
47	88	1757
48	90	1749
49	92	1749
50	94	1750
51	95	1744
52	97	1735
53	98	1730
54	100	1724
55	102	1728
56	103	1718
57	105	1708
58	106	1698
59	108	1701
60	110	1699
61	111	1691
62	113	1686
63	116	1699
64	118	1702
65	119	1697
66	121	1695
67	123	1692
68	125	1687
69	126	1680
70	127	1674
71	129	1668
72	130	1662
73	133	1664
74	134	1664
75	136	1661
76	139	1666
77	141	1670
78	144	1680
79	146	1679
80	147	1676
81	149	1677
82	151	1675
83	153	1675
84	156	1681
85	158	1680
86	160	1680
87	162	1682
88	164	1687
89	166	1682
90	168	1678
91	169	1674
92	171	1671
93	173	1669
94	174	1666
95	176	1661
96	178	1661
97	180	1661
98	182	1665
99	184	1662
100	186	1661
101	188	1657
102	190	1655
103	191	1651
104	194	1653
105	196	1654
106	197	1651
107	199	1648
108	201	1644
109	202	1640
110	204	1638
111	206	1635
112	208	1636
113	210	1637
114	212	1633
115	214	1631
116	215	1629
117	217	1626
118	219	1622
119	221	1620
120	222	1618
121	224	1618
122	226	1616
123	228	1613
124	230	1612
125	232	1615
126	234	1614
127	236	1613
128	239	1615
129	241	1619
130	244	1619
131	246	1620
132	248	1618
133	250	1616
134	252	1616
135	254	1615
136	256	1616
137	258	1617
138	261	1618
139	263	1616
140	265	1614
141	267	1613
142	268	1611
143	270	1610
144	273	1611
145	275	1610
146	277	1608
147	279	1608
148	281	1608
149	284	1611
150	286	1610
151	288	1608
152	290	1607
153	292	1604
154	294	1602
155	296	1602
156	298	1600
157	300	1601
158	302	1600
159	304	1598
160	306	1596
161	308	1593
162	311	1599
163	313	1597
164	315	1594
165	317	1593
166	319	1591
167	320	1588
168	322	1586
169	324	1584
170	326	1583
171	329	1584
172	331	1583
173	333	1582
174	335	1581
175	338	1582
176	340	1582
177	342	1582
178	344	1581
179	348	1585
180	350	1586
181	353	1590
182	356	1590
183	358	1591
184	361	1594
185	364	1594
186	366	1592
187	368	1591
188	370	1591
189	373	1591
190	375	1591
191	378	1591
192	380	1592
193	382	1590
194	385	1589
195	387	1589
196	390	1590
197	392	1591
198	395	1591
199	397	1589
200	399	1587
201	401	1585
202	403	1583
203	406	1586
204	408	1585
205	410	1584
206	413	1582
207	416	1584
208	417	1580
209	419	1577
210	421	1574
211	423	1572
212	425	1570
213	427	1569
214	429	1568
215	431	1565
216	434	1567
217	436	1566
